TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
-1,2.0,2.0,7.0,3.0,-1,0
6,8.0,2.0,7.0,3.0,1,0
8,8.0,4.0,7.0,3.0,2,0
12,4.0,4.0,7.0,3.0,0,0
16,0.0,4.0,7.0,3.0,-1,0
-1,2.0,2.0,4.0,6.0,-1,0
7,9.0,2.0,4.0,6.0,-1,0
-1,2.0,2.0,7.0,2.0,-1,0
5,2.0,7.0,7.0,2.0,3,0
10,7.0,7.0,7.0,2.0,0,0
15,7.0,2.0,7.0,4.0,2,1
17,5.0,2.0,7.0,4.0,1,1
20,5.0,5.0,7.0,4.0,3,1
23,8.0,5.0,7.0,4.0,0,1
25,8.0,3.0,7.0,4.0,2,1
27,6.0,3.0,7.0,4.0,1,1
29,6.0,5.0,7.0,4.0,3,1
31,8.0,5.0,7.0,4.0,0,1
32,8.0,4.0,7.0,4.0,2,1
34,6.0,4.0,6.0,2.0,1,2
37,6.0,7.0,6.0,2.0,3,2
38,7.0,7.0,6.0,2.0,0,2
43,7.0,2.0,6.0,2.0,2,2
45,5.0,2.0,1.0,8.0,1,3
51,5.0,8.0,1.0,8.0,2,3
54,2.0,8.0,1.0,8.0,0,3
57,2.0,5.0,1.0,8.0,3,3
59,4.0,5.0,1.0,8.0,1,3
62,4.0,8.0,1.0,8.0,2,3
66,0.0,8.0,6.0,6.0,-1,4
