TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
-1,2.0,2.0,5.0,3.0,-1,0
3,5.0,2.0,5.0,3.0,1,0
5,5.0,4.0,8.0,5.0,2,1
8,2.0,4.0,8.0,5.0,1,1
10,2.0,6.0,8.0,5.0,3,1
15,7.0,6.0,8.0,5.0,0,1
18,7.0,3.0,8.0,5.0,2,1
19,6.0,3.0,8.0,5.0,1,1
22,6.0,6.0,8.0,5.0,3,1
24,8.0,6.0,8.0,5.0,0,1
26,8.0,4.0,2.0,7.0,2,2
31,3.0,4.0,2.0,7.0,1,2
35,3.0,8.0,2.0,7.0,3,2
38,6.0,8.0,2.0,7.0,0,2
40,6.0,6.0,2.0,7.0,2,2
43,3.0,6.0,2.0,7.0,1,2
46,3.0,9.0,2.0,7.0,-1,2
-1,2.0,2.0,4.0,2.0,-1,0
3,5.0,2.0,6.0,7.0,1,1
8,5.0,7.0,6.0,7.0,3,1
10,7.0,7.0,3.0,1.0,0,2
12,7.0,5.0,3.0,1.0,2,2
15,4.0,5.0,3.0,1.0,0,2
19,4.0,1.0,3.0,1.0,2,2
21,2.0,1.0,8.0,4.0,1,3
24,2.0,4.0,8.0,4.0,3,3
30,8.0,4.0,5.0,6.0,1,4
33,8.0,7.0,5.0,6.0,2,4
36,5.0,7.0,5.0,6.0,0,4
38,5.0,5.0,1.0,5.0,2,5
41,2.0,5.0,1.0,5.0,1,5
44,2.0,8.0,1.0,5.0,3,5
46,4.0,8.0,1.0,5.0,0,5
47,4.0,7.0,1.0,5.0,2,5
50,1.0,7.0,1.0,5.0,0,5
52,1.0,5.0,6.0,3.0,3,6
57,6.0,5.0,6.0,3.0,0,6
59,6.0,3.0,7.0,1.0,2,7
62,3.0,3.0,7.0,1.0,1,7
64,3.0,5.0,7.0,1.0,3,7
68,7.0,5.0,7.0,1.0,0,7
72,7.0,1.0,1.0,4.0,2,8
78,1.0,1.0,1.0,4.0,1,8
83,1.0,6.0,2.0,6.0,3,9
87,5.0,6.0,4.0,4.0,0,10
88,5.0,5.0,4.0,4.0,2,10
91,2.0,5.0,4.0,4.0,1,10
92,2.0,6.0,4.0,4.0,-1,10
-1,2.0,2.0,5.0,1.0,-1,0
4,6.0,2.0,5.0,1.0,0,0
5,6.0,1.0,5.0,1.0,2,0
8,3.0,1.0,2.0,3.0,1,1
12,3.0,5.0,2.0,3.0,2,1
13,2.0,5.0,2.0,3.0,0,1
17,2.0,1.0,3.0,2.0,3,2
20,5.0,1.0,3.0,2.0,1,2
22,5.0,3.0,3.0,2.0,2,2
24,3.0,3.0,3.0,2.0,1,2
27,3.0,6.0,3.0,2.0,3,2
29,5.0,6.0,3.0,2.0,0,2
33,5.0,2.0,3.0,2.0,2,2
36,2.0,2.0,4.0,7.0,1,3
40,2.0,6.0,4.0,7.0,3,3
45,7.0,6.0,4.0,7.0,1,3
46,7.0,7.0,4.0,7.0,2,3
50,3.0,7.0,7.0,1.0,0,4
56,3.0,1.0,7.0,1.0,3,4
60,7.0,1.0,1.0,3.0,1,5
63,7.0,4.0,1.0,3.0,2,5
69,1.0,4.0,1.0,3.0,0,5
71,1.0,2.0,3.0,2.0,3,6
75,5.0,2.0,6.0,5.0,1,7
78,5.0,5.0,6.0,5.0,3,7
80,7.0,5.0,3.0,8.0,0,8
83,7.0,2.0,3.0,8.0,2,8
86,4.0,2.0,3.0,8.0,1,8
92,4.0,8.0,3.0,8.0,2,8
94,2.0,8.0,6.0,1.0,0,9
101,2.0,1.0,6.0,1.0,3,9
106,7.0,1.0,6.0,8.0,1,10
113,7.0,8.0,6.0,8.0,2,10
116,4.0,8.0,3.0,4.0,0,11
120,4.0,4.0,3.0,4.0,2,11
121,3.0,4.0,6.0,3.0,1,12
126,3.0,9.0,6.0,3.0,-1,12
