TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
33,5.0,2.0,8.0,2.0,1,3
36,5.0,5.0,8.0,2.0,3,3
39,8.0,5.0,8.0,2.0,0,3
42,8.0,2.0,3.0,8.0,2,4
47,3.0,2.0,3.0,8.0,1,4
53,3.0,8.0,4.0,4.0,3,5
57,7.0,8.0,4.0,4.0,0,5
61,7.0,4.0,4.0,4.0,2,5
65,3.0,4.0,4.0,3.0,1,6
68,3.0,7.0,4.0,3.0,3,6
71,6.0,7.0,4.0,3.0,0,6
74,6.0,4.0,4.0,3.0,2,6
78,2.0,4.0,4.0,3.0,1,6
79,2.0,5.0,4.0,3.0,3,6
83,6.0,5.0,4.0,3.0,0,6
86,6.0,2.0,4.0,3.0,2,6
89,3.0,2.0,4.0,3.0,1,6
93,3.0,6.0,4.0,3.0,3,6
96,6.0,6.0,4.0,3.0,0,6
99,6.0,3.0,4.0,3.0,2,6
101,4.0,3.0,5.0,5.0,1,7
107,4.0,9.0,5.0,5.0,-1,7
-1,2.0,2.0,8.0,1.0,-1,0
6,8.0,2.0,8.0,1.0,0,0
8,8.0,0.0,2.0,5.0,-1,1
-1,2.0,2.0,1.0,5.0,-1,0
2,2.0,4.0,1.0,5.0,2,0
3,1.0,4.0,1.0,5.0,1,0
7,1.0,8.0,8.0,4.0,3,1
14,8.0,8.0,8.0,4.0,0,1
18,8.0,4.0,1.0,8.0,2,2
20,6.0,4.0,1.0,8.0,1,2
23,6.0,7.0,1.0,8.0,2,2
28,1.0,7.0,1.0,8.0,0,2
29,1.0,6.0,1.0,8.0,3,2
33,5.0,6.0,1.0,8.0,1,2
35,5.0,8.0,1.0,8.0,2,2
39,1.0,8.0,4.0,6.0,0,3
42,1.0,5.0,4.0,6.0,3,3
46,5.0,5.0,4.0,6.0,1,3
47,5.0,6.0,4.0,6.0,2,3
50,2.0,6.0,1.0,5.0,0,4
53,2.0,3.0,1.0,5.0,3,4
55,4.0,3.0,1.0,5.0,1,4
56,4.0,4.0,1.0,5.0,2,4
60,0.0,4.0,1.0,5.0,-1,4
-1,2.0,2.0,8.0,7.0,-1,0
0,2.0,2.0,8.0,7.0,1,0
4,2.0,6.0,8.0,7.0,3,0
10,8.0,6.0,8.0,7.0,1,0
11,8.0,7.0,4.0,5.0,2,1
15,4.0,7.0,4.0,5.0,0,1
18,4.0,4.0,4.0,7.0,3,2
20,6.0,4.0,4.0,7.0,1,2
23,6.0,7.0,4.0,7.0,2,2
26,3.0,7.0,2.0,2.0,0,3
31,3.0,2.0,2.0,2.0,2,3
32,2.0,2.0,1.0,5.0,1,4
36,2.0,6.0,1.0,5.0,2,4
37,1.0,6.0,1.0,5.0,0,4
41,1.0,2.0,5.0,5.0,3,5
45,5.0,2.0,5.0,5.0,1,5
49,5.0,6.0,6.0,2.0,2,6
51,3.0,6.0,6.0,2.0,1,6
52,3.0,7.0,6.0,2.0,3,6
55,6.0,7.0,6.0,2.0,0,6
60,6.0,2.0,2.0,3.0,2,7
62,4.0,2.0,2.0,3.0,1,7
64,4.0,4.0,2.0,3.0,2,7
66,2.0,4.0,2.0,3.0,0,7
69,2.0,1.0,5.0,7.0,3,8
73,6.0,1.0,5.0,7.0,1,8
79,6.0,7.0,5.0,7.0,2,8
83,2.0,7.0,5.0,5.0,0,9
85,2.0,5.0,5.0,5.0,3,9
88,5.0,5.0,7.0,7.0,0,10
90,5.0,3.0,7.0,7.0,2,10
92,3.0,3.0,7.0,7.0,1,10
94,3.0,5.0,7.0,7.0,-1,10
