TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
-1,2.0,2.0,2.0,6.0,-1,0
2,4.0,2.0,2.0,6.0,1,0
6,4.0,6.0,2.0,6.0,2,0
9,1.0,6.0,6.0,7.0,0,1
12,1.0,3.0,6.0,7.0,3,1
17,6.0,3.0,6.0,7.0,1,1
21,6.0,7.0,7.0,7.0,2,2
24,3.0,7.0,7.0,7.0,0,2
26,3.0,5.0,7.0,7.0,3,2
30,7.0,5.0,7.0,7.0,1,2
32,7.0,7.0,2.0,1.0,2,3
37,2.0,7.0,2.0,1.0,0,3
43,2.0,1.0,5.0,3.0,3,4
46,5.0,1.0,5.0,3.0,1,4
49,5.0,4.0,7.0,8.0,2,5
51,3.0,4.0,7.0,8.0,1,5
55,3.0,8.0,7.0,8.0,3,5
59,7.0,8.0,3.0,2.0,0,6
62,7.0,5.0,3.0,2.0,2,6
65,4.0,5.0,3.0,2.0,0,6
69,4.0,1.0,3.0,2.0,3,6
71,6.0,1.0,3.0,2.0,1,6
73,6.0,3.0,3.0,2.0,2,6
76,3.0,3.0,3.0,2.0,1,6
79,3.0,6.0,3.0,2.0,3,6
82,6.0,6.0,3.0,2.0,0,6
86,6.0,2.0,3.0,2.0,2,6
90,2.0,2.0,1.0,7.0,1,7
95,2.0,7.0,1.0,7.0,2,7
96,1.0,7.0,8.0,5.0,0,8
102,1.0,1.0,8.0,5.0,3,8
109,8.0,1.0,8.0,5.0,1,8
116,8.0,8.0,1.0,4.0,2,9
123,1.0,8.0,1.0,4.0,0,9
128,1.0,3.0,8.0,6.0,3,10
135,8.0,3.0,8.0,6.0,1,10
139,8.0,7.0,8.0,8.0,2,11
144,3.0,7.0,8.0,8.0,0,11
147,3.0,4.0,8.0,8.0,3,11
152,8.0,4.0,8.0,8.0,1,11
156,8.0,8.0,1.0,1.0,2,12
164,0.0,8.0,1.0,1.0,-1,12
-1,2.0,2.0,5.0,3.0,-1,0
3,5.0,2.0,5.0,3.0,1,0
7,5.0,6.0,3.0,6.0,2,1
10,2.0,6.0,6.0,7.0,0,2
12,2.0,4.0,6.0,7.0,3,2
16,6.0,4.0,6.0,7.0,1,2
20,6.0,8.0,8.0,2.0,2,3
22,4.0,8.0,8.0,2.0,0,3
24,4.0,6.0,8.0,2.0,3,3
27,7.0,6.0,8.0,2.0,0,3
31,7.0,2.0,8.0,2.0,2,3
